username,Issues_Event,Watch_Event,Total_Received,Work_quality,Repo_authority
Sebastian Bergmann,2,275,294,0.006802721088435374,0.935374149659864
Kuba Werłos,31,12,263,0.11787072243346007,0.045627376425855515
Matthias Noback,5,44,107,0.04672897196261682,0.411214953271028
Krzysztof Piasecki,65,23,296,0.2195945945945946,0.0777027027027027
Graham Campbell,31,17,288,0.1076388888888889,0.059027777777777776
Tom Corrigan,44,8,279,0.15770609318996415,0.02867383512544803
Reinhold Füreder,0,0,0,0,0
Sebastian,0,0,0,0,0
Alexander M. Turek,18,90,262,0.06870229007633588,0.3435114503816794
Christer Edvartsen,8,0,285,0.028070175438596492,0.0
Dennis de Greef,15,111,285,0.05263157894736842,0.3894736842105263
Ivan Habunek,16,125,213,0.07511737089201878,0.5868544600938967
Stelian Mocanita,0,0,61,0.0,0.0
Volker Dusch,39,5,271,0.14391143911439114,0.01845018450184502
Anthony Ferrara,4,151,224,0.017857142857142856,0.6741071428571429
Ramon Henrique Ornelas,35,17,245,0.14285714285714285,0.06938775510204082
Andreas Möller,21,16,285,0.07368421052631578,0.056140350877192984
Bert Hekman,0,82,124,0.0,0.6612903225806451
Boudry Julien,57,1,280,0.20357142857142857,0.0035714285714285713
Christian Albrecht,4,0,237,0.016877637130801686,0.0
Dariusz Rumiński,20,0,266,0.07518796992481203,0.0
sloory,0,0,0,0,0
Edward Betts,2,161,269,0.007434944237918215,0.5985130111524164
Evgeny Chernyavskiy,0,0,3,0.0,0.0
Hennadiy (Gena) Verkh,1,16,34,0.029411764705882353,0.47058823529411764
Henrique Moody,2,88,262,0.007633587786259542,0.33587786259541985
Jakub Zalas,31,3,207,0.1497584541062802,0.014492753623188406
Jaroslav Hanslík,32,1,184,0.17391304347826086,0.005434782608695652
Marc Würth,26,0,276,0.09420289855072464,0.0
Michael Brooks,0,19,36,0.0,0.5277777777777778
Philipp Hoffmann,0,2,10,0.0,0.2
Remi Collet,12,0,267,0.0449438202247191,0.0
Benjamin Schultz,34,5,270,0.1259259259259259,0.018518518518518517
Jochen Van de Velde,19,1,285,0.06666666666666667,0.0035087719298245615
